system_weight,bias_0,bias_1,bias_2,bias_3,bias_4,target
0.7085545,-0.41004935,-0.35154173,0.85807073,-0.009424453,-0.055626184,0
0.7085339,0.5323127,-0.15023443,-0.06390428,0.24618937,0.32100084,1
0.70814633,-0.598022,0.16920456,0.8855351,0.46043733,0.35038388,0
0.7079753,-0.3892913,-0.08502451,0.34382698,-0.32734933,0.42874157,1
0.7082591,-0.6276949,0.48072386,0.00704744,-0.5216717,0.81665266,0
0.708484,-0.8423758,0.093204044,0.6797237,-0.4958793,-0.17710541,1
0.7092168,0.30707535,0.5709539,0.45536575,0.051351298,-0.57478476,0
0.7088267,-0.45575383,0.18150465,-0.1757224,-0.18898317,0.6446421,1
0.7087144,-0.6241579,0.8068313,-0.43514854,-0.044756733,0.76936495,0
0.7082959,-0.06415119,0.21756081,0.6226101,-0.5070613,-0.21385098,1
0.7086965,0.34820595,-0.1612466,-0.033064414,-0.28974885,-0.8081508,0
0.70923465,0.4351594,-0.45960855,0.45148256,0.06404343,0.15206929,1
0.7085813,0.3491891,0.16602802,-0.0016491429,-0.36509994,0.22121307,0
0.70831543,0.37246588,-0.53777456,0.24095744,-0.5512763,-0.49353632,1
0.7084468,-0.720206,0.4503398,-0.23940572,0.015940519,-0.4926086,0
0.7087472,-0.220222,0.21682222,0.46225828,0.6890557,0.22516812,1
0.70903385,0.35404682,0.5833316,-0.7392318,-0.0082772095,0.2558788,0
0.7091205,-0.38058838,0.7198726,0.21132372,-0.5531903,0.40308762,1
0.7090665,0.4153593,0.1083099,0.03341196,0.60835236,0.2537944,0
0.70852995,-0.7110958,-0.34611678,0.25410742,0.65843195,0.30194023,1
0.70887357,0.053601727,-0.36129674,-0.35106835,-0.22271624,-0.5755562,0
0.70914906,0.8291422,0.2050305,0.023712493,0.26500845,-0.4068009,1
0.7085477,0.114768766,0.47578835,-0.6300724,-0.03023036,-0.5412976,0
0.70856553,0.56598186,0.5933541,0.1129846,-0.17330362,0.4099733,1
0.709337,-0.40901974,-0.69128954,0.5605402,-0.21654147,0.15358771,0
0.7094704,0.33283663,-0.24231398,-0.47034883,-0.35114938,-0.3695389,1
0.70949006,0.8575937,-0.45155862,-0.10559128,-0.5330734,0.19589518,0
0.7096052,-0.35326993,-0.2583889,-0.26195097,-0.18712032,-0.04690896,1
0.7091211,0.43471766,0.0762569,0.07236614,-0.5253083,0.054940693,0
0.70859635,0.22021057,-0.2517924,-0.5782429,0.27629474,-0.21373257,1
0.7092051,0.53652596,0.6440771,0.3236486,-0.023595791,-0.3605306,0
0.7095485,0.7262864,-0.008478054,-0.2448646,-0.5889594,0.1563368,1
0.7091206,0.6135871,0.4364897,0.13041304,-0.34254533,-0.39564773,0
0.7086435,0.06682043,-0.4558709,0.14096613,0.64599776,0.55717206,1
0.7088087,-0.24035817,-0.6812904,0.6550352,-0.77954185,-0.71757686,0
0.7091735,0.30609813,-0.5662098,0.32939658,0.29853046,0.3533771,1
0.70911986,-0.54128695,0.10675595,-0.13068894,0.7387309,0.5383631,0
0.70895666,-0.59025764,0.8063782,-0.30973014,-0.76521826,-0.59234416,1
0.7082806,-0.11770664,-0.010934494,0.4873798,-0.35897943,0.82838154,0
0.70811814,-0.23551719,0.45159242,-0.44943807,0.02531098,0.22948004,1
0.7088418,0.3618581,-0.81744826,0.22524141,0.026608733,0.19567603,0
0.7091873,-0.68589354,-0.5148528,0.37247205,-0.45143616,-0.03144889,1
0.70872366,-0.6785772,-0.4027575,0.699842,-0.24302788,0.063002266,0
0.7084094,0.10146302,-0.27538878,-0.45970514,-0.3648763,0.09039559,1
0.70870584,0.5711465,0.5097125,-0.4229232,0.69146085,-0.48558405,0
0.70855904,-0.018357538,0.11939497,0.676211,-0.2413711,0.62251365,1
0.70931727,0.4021617,0.012813739,-0.8555082,-0.030446723,-0.6373235,0
0.7086106,0.3738065,-0.67630446,0.55505556,0.33533284,-0.39213204,1
0.7089256,-0.30335826,0.36745864,-0.017516898,0.0029470252,-0.51097184,0
0.7084254,0.5661596,0.5197711,-0.012735239,-0.20631675,0.8055533,1
0.7089785,0.086143464,0.06635759,-0.6686697,-0.4944666,-0.40115073,0
0.7095975,-0.19728261,0.104679845,0.18401085,0.065891996,0.30392587,1
0.70857257,0.5086037,0.35845798,-0.3031028,0.15283169,0.12632023,0
0.7085692,-0.6909666,0.33748758,-0.35149765,-0.3181713,0.69751966,1
0.7085102,0.77999,-0.54161304,-0.1674151,-0.10341018,-0.27970192,0
0.7094991,0.7646044,0.63287324,0.6530826,0.6905352,0.53284156,1
